RA,Dec,Catalog,Frequency(GHz),Flux (Jansky),Error flux (Jy),Filter
284.4150932,53.5091502,II/328/allwise,1.36E+04,1.16E-03,UPPER LIMIT,WISE:W4
284.4150932,53.5091502,II/328/allwise,2.59E+04,1.26E-04,UPPER LIMIT,WISE:W3
284.4150932,53.5091502,II/328/allwise,6.52E+04,1.48E-04,7.00E-06,WISE:W2
284.4150932,53.5091502,II/328/allwise,8.95E+04,3.04E-04,8.00E-06,WISE:W1
284.4150932,53.5091502,II/328/allwise,1.39E+05,4.07E-04,7.00E-05,2MASS:Ks
284.4150932,53.5091502,II/328/allwise,1.82E+05,7.07E-04,6.10E-05,2MASS:H
284.4150932,53.5091502,II/328/allwise,2.42E+05,8.45E-04,4.30E-05,2MASS:J
#284.4156167,53.5090322,II/349/ps1,3.12E+05,8.79E-04,6.00E-06,PAN-STARRS/PS1:y
#284.4156167,53.5090322,II/349/ps1,3.47E+05,9.05E-04,1.30E-05,PAN-STARRS/PS1:z
#284.4156167,53.5090322,II/349/ps1,4.01E+05,8.11E-04,6.00E-06,PAN-STARRS/PS1:i
284.4153004,53.50906839,II/349/ps1,3.12E+05,9.39E-04,6.00E-06,PAN-STARRS/PS1:y
284.4153004,53.50906839,II/349/ps1,3.47E+05,8.97E-04,3.00E-06,PAN-STARRS/PS1:z
284.4153004,53.50906839,II/349/ps1,4.01E+05,8.13E-04,3.00E-06,PAN-STARRS/PS1:i
284.4153004,53.50906839,II/349/ps1,4.89E+05,6.26E-04,1.00E-06,PAN-STARRS/PS1:r
284.4153004,53.50906839,II/349/ps1,6.28E+05,3.30E-04,1.00E-06,PAN-STARRS/PS1:g
